Purpose Code,Revised Purpose Code,diff purp code,Collateral Code,Revised Collateral Code,diff coll code,purp/coll diff,Property Type,Net Operating Income,Annual Debt Service,Appraised Value,SWAP?,State,Bank,Team,Region,Original             Balance,Net Current Balance,Unused Commitment,Open   Date,Date Maturity,Interest Rate,Guarantor?,Risk Code,Relationship ID,Division
83,83,match,8612,8612,match,match/match,Retail,,,,,PA,FB,MOWERY,CPA,"861,759.43 ","161,858.20 ","699,901.23 ",08/30/16,08/31/19,3.98%,YES,5,10003,
83,83,match,8612,8612,match,match/match,Retail,,,,,PA,FB,MOWERY,CPA,"16,947,935.00 ","13,306,701.16 ","3,641,233.84 ",08/30/16,08/31/19,3.98%,YES,5,10003,
83,71,diff,8300,8300,match,diff/match,Multifamily,,,,,PA,FB,MOWERY,CPA,"850,000.00 ","433,000.25 ","400,000.00 ",11/25/15,11/25/40,4.10%,YES,5,8305,
83,71,diff,8608,8300,diff,diff/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"5,834,500.00 ","5,307,061.03 ","527,438.97 ",07/25/14,05/31/41,3.49%,YES,4,10372,
83,83,match,8608,8608,match,match/match,Multifamily,,,,,NJ,FBNJ,ROARK,NJ,"6,300,000.00 ","6,300,000.00 ",0.00 ,01/27/16,12/01/17,5.25%,YES,5 ,19577,
83,83,match,8401,8401,match,match/match,Office,,,,,NJ,FBNJ,ROARK,NJ,"15,500,000.00 ","15,379,255.00 ",0.01 ,09/03/15,01/31/26,3.09%,no,5 ,15573,
83,83,match,8403,8405,diff,match/diff,Retail,,,,,NJ,FBNJ,ROARK,NJ,"624,000.00 ","524,548.55 ",0.00 ,07/19/06,06/17/21,4.25%,YES,5 ,4051,
83,83,match,8607,8406,diff,match/diff,Industrial,,,,,NJ,FBNJ,ROARK,NJ,"3,000,000.00 ",0.00 ,"3,000,000.00 ",10/20/17,12/01/43,3.21%,YES,4 ,18420,
82,90,diff,8606,8604,diff,diff/diff,Homebuilder,,,,,PA,FB,KIRK,SEPA,"250,000.00 ",0.00 ,"250,000.00 ",10/16/17,10/01/22,4.54%,YES,5,8882,
82,90,diff,8606,8604,diff,diff/diff,Homebuilder,,,,,PA,FB,KIRK,SEPA,"398,239.81 ","128,179.20 ","67,485.61 ",09/29/17,10/01/19,5.25%,YES,5,8882,
82,90,diff,8606,8604,diff,diff/diff,Homebuilder,,,,,PA,FB,KIRK,SEPA,"439,961.33 ","391,731.33 ",0.00 ,09/29/17,10/01/19,5.25%,YES,5,8882,
82,90,diff,8606,8604,diff,diff/diff,Homebuilder,,,,,PA,FB,KIRK,SEPA,"1,263,000.00 ","219,240.33 ","1,043,759.67 ",10/05/17,10/01/19,5.25%,YES,5,8882,
82,90,diff,8606,8606,match,diff/match,Homebuilder,,,,,PA,FB,KIRK,SEPA,"564,296.00 ",0.00 ,"564,296.00 ",09/29/17,10/01/19,5.25%,YES,5,8882,
82,82,match,8200,8300,diff,match/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"940,000.00 ","588,449.22 ",0.00 ,11/22/06,11/22/27,4.15%,YES,4,60,
82,81,diff,8200,8613,diff,diff/diff,Homebuilder,,,,,VA,FB,WOOD,DMV,"144,375.00 ","29,625.00 ","114,750.00 ",08/01/17,08/01/18,5.25%,YES,4,13903,
82,81,diff,8200,8613,diff,diff/diff,Homebuilder,,,,,VA,FB,WOOD,DMV,"194,250.00 ","194,250.00 ",0.00 ,09/11/17,09/01/18,5.25%,YES,4,13903,
82,81,diff,8200,8613,diff,diff/diff,Homebuilder,,,,,VA,FB,WOOD,DMV,"162,750.00 ","47,250.00 ","115,500.00 ",10/23/17,11/01/18,5.25%,YES,4,13903,
82,82,match,8606,8613,diff,match/diff,Homebuilder,,,,,VA,FB,WOOD,DMV,"249,201.00 ","181,523.00 ","67,678.00 ",10/27/17,12/31/79,4.75%,YES,4,14065,
82,81,diff,8606,8613,diff,diff/diff,Homebuilder,,,,,VA,FB,WOOD,DMV,"270,283.00 ","270,283.00 ",0.00 ,07/27/16,12/31/79,5.25%,YES,4,14065,
82,82,match,8200,8200,match,match/match,Other,,,,,VA,FB,WOOD,DMV,"53,250.00 ","46,944.14 ",0.00 ,09/04/14,09/01/19,5.00%,YES,5,16642,
82,83 ,diff,8200,8608,diff,diff/diff,Multifamily,,,,,DE,FB,ROARK,DMV,"800,000.00 ","638,299.49 ",0.00 ,04/26/11,01/26/32,5.50%,YES,4,6404,
81,81,match,8613,8604,diff,match/diff,Homebuilder,,,,,PA,FB,MOWERY,CPA,"500,000.00 ","235,534.17 ","264,465.83 ",04/01/16,12/31/79,5.00%,YES,5,20775,
81,81,match,8613,8606,diff,match/diff,Homebuilder,,,,,PA,FB,MOWERY,CPA,"1,250,000.00 ","445,000.00 ","805,000.00 ",08/07/14,12/31/79,4.50%,YES,4,4032,
81,98,diff,8606,8300,diff,diff/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"1,100,000.00 ",0.00 ,"1,100,000.00 ",03/27/13,12/31/79,5.25%,YES,5,8423,
81,81,match,8606,8613,diff,match/diff,Homebuilder,,,,,PA,FB,MOWERY,CPA,"2,000,000.00 ",0.00 ,"2,000,000.00 ",06/30/09,12/31/79,4.00%,YES,4,9325,Central VA Division
81,81,match,8606,8606,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"470,000.00 ",0.00 ,"470,000.00 ",06/21/16,12/31/79,4.25%,YES,5,8423,Central VA Division
81,81,match,8613,8613,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"235,500.00 ",0.00 ,"42,000.00 ",01/27/16,12/31/79,4.25%,no,5,8423,Northern VA Division
81,81,match,8606,8606,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"186,000.00 ",0.00 ,"186,000.00 ",04/23/16,12/31/79,4.25%,no,5,8423,Northern VA Division
81,72,diff,8606,8606,match,diff/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"200,400.00 ","184,409.72 ",0.00 ,07/03/14,01/03/37,4.75%,no,5,19348,Northern VA Division
81,81,match,8613,8606,diff,match/diff,Homebuilder,,,,,PA,FB,MOWERY,CPA,"1,500,000.00 ","688,000.00 ","812,000.00 ",10/30/09,12/31/79,4.75%,YES,4,11226,Northern VA Division
81,81,match,8606,8613,diff,match/diff,Homebuilder,,,,,PA,FB,MOWERY,CPA,"600,000.00 ","373,312.50 ","226,687.50 ",06/30/11,12/31/79,4.25%,YES,5,9641,Northern VA Division
81,90,diff,8604,8602,diff,diff/diff,Homebuilder,,,,,PA,FB,MOWERY,CPA,"470,000.00 ","152,105.75 ","17,894.25 ",06/24/16,06/24/18,4.75%,no,5,12589,Northern VA Division
81,90,diff,8606,8604,diff,diff/diff,Homebuilder,,,,,PA,FB,KIRK,SEPA,"1,500,000.00 ","558,685.88 ","941,314.12 ",01/04/06,12/31/79,5.25%,YES,5,8882,Northern VA Division
81,90,diff,8606,8604,diff,diff/diff,Homebuilder,,,,,PA,FB,KIRK,SEPA,"1,000,000.00 ","406,225.43 ","593,774.57 ",08/11/06,12/31/79,5.25%,YES,5,8882,Northern VA Division
81,62,diff,3800,8604,diff,diff/diff,Homebuilder,,,,,PA,FB,KIRK,SEPA,"3,000,000.00 ","2,380,963.37 ","619,036.63 ",04/08/05,12/31/79,4.50%,YES,6,8790,Northern VA Division
81,81,match,8602,8300,diff,match/diff,Homebuilder,,,,,PA,FB,MOWERY,CPA,"4,500,000.00 ","2,914,967.00 ","1,585,033.00 ",02/18/05,12/31/79,4.00%,YES,4,5163,Northern VA Division
81,81,match,8602,8602,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"8,000,000.00 ","2,917,703.12 ","5,082,296.88 ",06/05/07,12/31/79,3.74%,YES,4,8812,Northern VA Division
